"Местное время в Елабуге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E1";"sss"
"09.10.2017 03:00";"5.6";"761.9";"770.3";"0.2";"93";"Ветер, дующий с северо-востока";"1";"";"";"70 – 80%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"4.6";"";"";"";"";"";"";
"09.10.2017 00:00";"6.4";"761.7";"770.1";"0.2";"93";"Ветер, дующий с севера";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.4";"";"";"";"";"";"";
"08.10.2017 21:00";"7.3";"761.5";"769.9";"0.6";"92";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.1";"";"";"";"";"";"";
"08.10.2017 18:00";"8.4";"760.9";"769.2";"0.6";"87";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"12.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.3";"Осадков нет";"12";"";"";"";"";
"08.10.2017 15:00";"12.4";"760.3";"768.6";"0.9";"68";"Ветер, дующий с юго-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.5";"";"";"";"";"";"";
"08.10.2017 12:00";"12.2";"759.4";"767.6";"0.8";"69";"Ветер, дующий с юго-юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"6.7";"";"";"";"";"";"";
"08.10.2017 09:00";"9.6";"758.6";"766.9";"1.4";"88";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"7.7";"";"";"";"";"";"";
"08.10.2017 06:00";"8.8";"757.2";"765.5";"0.6";"90";"Ветер, дующий с юго-юго-востока";"1";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"8.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"4.0";"7.3";"Осадков нет";"12";"Поверхность почвы влажная.";"8.0";"";"";
"08.10.2017 03:00";"8.7";"756.6";"764.9";"0.4";"89";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"7.0";"";"";"";"";"";"";
"08.10.2017 00:00";"9.0";"756.2";"764.5";"0.5";"86";"Ветер, дующий с юга";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"6.8";"";"";"";"";"";"";
"07.10.2017 21:00";"9.1";"755.7";"763.9";"1.1";"86";"Ветер, дующий с юго-запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"6.8";"";"";"";"";"";"";
"07.10.2017 18:00";"9.3";"754.6";"762.9";"1.5";"84";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";" ";"";"";"";"10.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"6.7";"6.0";"12";"";"";"";"";
"07.10.2017 15:00";"9.2";"753.1";"761.2";"1.3";"87";"Ветер, дующий с юго-юго-запада";"5";"";"13";"100%.";"Дождь (незамерзающий) неливневый. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"7.2";"";"";"";"";"";"";
"07.10.2017 12:00";"9.5";"751.8";"760.0";"0.7";"85";"Ветер, дующий с юго-юго-запада";"4";"11";"11";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"7.0";"";"";"";"";"";"";
"07.10.2017 09:00";"8.5";"751.1";"759.4";"0.8";"88";"Ветер, дующий с юга";"4";"";"12";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"6.6";"";"";"";"";"";"";
"07.10.2017 06:00";"10.5";"750.3";"758.4";"-0.1";"66";"Ветер, дующий с юга";"4";"";"10";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"8.5";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"";"";"10.0";"4.4";"2.0";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"5.0";"";"";
"07.10.2017 03:00";"";"750.4";"758.6";"-0.7";"";"Штиль, безветрие";"0";"";"";"10%  или менее, но не 0";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"1500-2000";"";"";"0.3";"3.7";"";"";"";"";"";"";
"07.10.2017 00:00";"11.0";"751.1";"759.2";"-0.9";"55";"Ветер, дующий с юга";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"2.1";"";"";"";"";"";"";
"06.10.2017 21:00";"10.5";"752.0";"760.2";"-1.1";"47";"Ветер, дующий с юга";"3";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"";"";"10.0";"-0.4";"";"";"";"";"";"";
"06.10.2017 18:00";"8.6";"753.1";"761.3";"-0.4";"69";"Ветер, дующий с юго-юго-востока";"3";"";"10";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"9.0";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"";"";"10.0";"3.2";"3.0";"12";"";"";"";"";
"06.10.2017 15:00";"8.2";"753.5";"761.8";"-0.8";"85";"Ветер, дующий с юго-юго-востока";"4";"";"11";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"";"";"10.0";"5.8";"";"";"";"";"";"";
"06.10.2017 12:00";"7.4";"754.3";"762.5";"0.9";"81";"Ветер, дующий с юга";"4";"";"10";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"100%.";"600-1000";"";"";"10.0";"4.4";"";"";"";"";"";"";
"06.10.2017 09:00";"8.2";"753.4";"761.7";"-0.6";"58";"Ветер, дующий с юга";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"";"10.0";"0.3";"";"";"";"";"";"";
"06.10.2017 06:00";"6.0";"754.0";"762.4";"-1.0";"65";"Ветер, дующий с юго-юго-востока";"3";"";"";"70 – 80%.";" ";"";"";"3.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-0.1";"Осадков нет";"12";"Поверхность почвы влажная.";"0.0";"";"";
"06.10.2017 03:00";"4.7";"755.0";"763.4";"-0.5";"70";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-0.3";"";"";"";"";"";"";
"06.10.2017 00:00";"5.0";"755.5";"763.9";"-0.7";"71";"Ветер, дующий с юго-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.2";"";"";"";"";"";"";
"05.10.2017 21:00";"4.4";"756.2";"764.6";"-0.3";"75";"Ветер, дующий с востоко-юго-востока";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"0.3";"";"";"";"";"";"";
"05.10.2017 18:00";"6.5";"756.5";"764.8";"-0.5";"69";"Ветер, дующий с юго-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"10.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.1";"Осадков нет";"12";"";"";"";"";
"05.10.2017 15:00";"10.3";"757.0";"765.3";"-1.4";"54";"Ветер, дующий с юга";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.3";"";"";"";"";"";"";
"05.10.2017 12:00";"6.8";"758.4";"766.7";"-0.7";"68";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"1.2";"";"";"";"";"";"";
"05.10.2017 09:00";"3.3";"759.1";"767.6";"-0.8";"76";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-0.6";"";"";"";"";"";"";
"05.10.2017 06:00";"1.8";"759.9";"768.4";"-0.7";"82";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";" ";"";"";"1.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-1.0";"Осадков нет";"12";"Поверхность почвы влажная.";"1.0";"";"";
"05.10.2017 03:00";"1.8";"760.6";"769.0";"-0.3";"85";"Ветер, дующий с юго-юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-0.5";"";"";"";"";"";"";
"05.10.2017 00:00";"2.6";"760.9";"769.5";"-0.1";"84";"Ветер, дующий с юго-юго-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"0.1";"";"";"";"";"";"";
"04.10.2017 21:00";"3.7";"761.0";"769.5";"-0.2";"80";"Ветер, дующий с западо-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"0.6";"";"";"";"";"";"";
"04.10.2017 18:00";"4.5";"761.2";"769.6";"0.1";"78";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"5.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.0";"Осадков нет";"12";"";"";"";"";
"04.10.2017 15:00";"5.5";"761.1";"769.5";"0.2";"71";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"0.5";"";"";"";"";"";"";
"04.10.2017 12:00";"5.0";"760.9";"769.4";"-0.3";"70";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"0.0";"";"";"";"";"";"";
"04.10.2017 09:00";"4.3";"761.2";"769.6";"0.3";"75";"Ветер, дующий с северо-северо-запада";"3";"";"10";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"0.2";"";"";"";"";"";"";
"04.10.2017 06:00";"3.8";"760.9";"769.4";"0.7";"75";"Ветер, дующий с северо-запада";"4";"";"";"70 – 80%.";" ";"";"";"2.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-0.3";"Осадков нет";"12";"Поверхность почвы влажная.";"1.0";"";"";
"04.10.2017 03:00";"2.9";"760.2";"768.7";"0.5";"85";"Ветер, дующий с северо-запада";"4";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"0.6";"";"";"";"";"";"";
"04.10.2017 00:00";"3.8";"759.7";"768.2";"0.4";"85";"Ветер, дующий с северо-запада";"3";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"1.4";"";"";"";"";"";"";
"03.10.2017 21:00";"5.1";"759.3";"767.7";"0.5";"82";"Ветер, дующий с северо-запада";"4";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"2.2";"";"";"";"";"";"";
"03.10.2017 18:00";"7.5";"758.8";"767.2";"0.2";"72";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"9.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"2.8";"Осадков нет";"12";"";"";"";"";
"03.10.2017 15:00";"9.6";"758.6";"766.9";"-0.8";"64";"Ветер, дующий с западо-северо-запада";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"3.0";"";"";"";"";"";"";
"03.10.2017 12:00";"7.7";"759.4";"767.8";"-1.0";"73";"Ветер, дующий с северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"3.1";"";"";"";"";"";"";
"03.10.2017 09:00";"4.2";"760.4";"768.8";"-0.5";"85";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"1.9";"";"";"";"";"";"";
"03.10.2017 06:00";"1.7";"760.9";"769.5";"-0.7";"79";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"-0.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-1.6";"Осадков нет";"12";"Поверхность почвы влажная.";"-2.0";"";"";
"03.10.2017 03:00";"0.7";"761.6";"770.2";"-0.5";"77";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-3.0";"";"";"";"";"";"";
"03.10.2017 00:00";"0.1";"762.1";"770.7";"0.0";"78";"Ветер, дующий с севера";"1";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-3.4";"";"";"";"";"";"";
"02.10.2017 21:00";"0.7";"762.1";"770.7";"0.3";"75";"Ветер, дующий с севера";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-3.3";"";"";"";"";"";"";
"02.10.2017 18:00";"3.3";"761.8";"770.4";"0.1";"69";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"5.3";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-1.9";"Осадков нет";"12";"";"";"";"";
"02.10.2017 15:00";"4.4";"761.7";"770.2";"-0.6";"56";"Ветер, дующий с северо-северо-востока";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"40%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-3.7";"";"";"";"";"";"";
"02.10.2017 12:00";"2.4";"762.3";"770.8";"-0.4";"63";"Ветер, дующий с северо-северо-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-4.1";"";"";"";"";"";"";
"02.10.2017 09:00";"1.4";"762.7";"771.2";"0.4";"75";"Ветер, дующий с северо-северо-востока";"3";"";"";"100%.";" ";"";"";"-1.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-2.6";"";"";"";"";"";"";
"02.10.2017 06:00";"-1.1";"762.3";"770.9";"0.2";"89";"Ветер, дующий с севера";"2";"";"";"20–30%.";" ";"";"";"-1.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-2.7";"Осадков нет";"12";"Поверхность почвы замерзшая.";"-2.0";"";"";
"02.10.2017 03:00";"0.3";"762.1";"770.8";"-0.1";"84";"Ветер, дующий с севера";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-2.2";"";"";"";"";"";"";
"02.10.2017 00:00";"1.1";"762.2";"770.8";"-0.2";"81";"Ветер, дующий с северо-северо-востока";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-1.9";"";"";"";"";"";"";
"01.10.2017 21:00";"3.1";"762.4";"771.0";"0.2";"77";"Ветер, дующий с северо-северо-востока";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"";"10.0";"-0.5";"";"";"";"";"";"";
"01.10.2017 18:00";"5.1";"762.2";"770.7";"0.5";"79";"Ветер, дующий с северо-северо-востока";"3";"";"";"100%.";" ";"";"";"";"7.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"1.7";"0.5";"12";"";"";"";"";
"01.10.2017 15:00";"6.4";"761.7";"770.0";"0.7";"79";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"2.9";"";"";"";"";"";"";
"01.10.2017 12:00";"6.4";"761.0";"769.4";"0.4";"85";"Ветер, дующий с северо-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"4.1";"";"";"";"";"";"";
"01.10.2017 09:00";"5.8";"760.6";"768.9";"1.2";"89";"Ветер, дующий с северо-востока";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"4.1";"";"";"";"";"";"";
"01.10.2017 06:00";"5.5";"759.4";"767.8";"1.2";"90";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";" ";"";"";"5.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"4.0";"2.0";"12";"Поверхность почвы влажная.";"5.0";"";"";
"01.10.2017 03:00";"6.0";"758.2";"766.6";"1.0";"90";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"4.5";"";"";"";"";"";"";
"01.10.2017 00:00";"6.4";"757.2";"765.5";"0.6";"91";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"5.0";"";"";"";"";"";"";
